timestamp,grid_id,event_count_30d,event_count_lag1,max_mag_30d,mean_depth_30d,cum_energy_30d,recent_m45_30d,target_m5_14d,m5_count_next_14d,log_cum_energy_30d,log_event_count_30d,log_event_count_lag1,mean_depth_imputed
2000-06-30 23:18:53.720,Central (35–40N) | East (138–146E),7,7,6.2,72.42857142857143,135568560592998.16,1,1,2,14.132158984928667,2.0794415416798357,2.0794415416798357,72.42857142857143
2000-06-30 23:18:53.720,Central (35–40N) | West (130–138E),5,3,5.9,73.36,45868417318083.54,1,0,0,13.661513755133491,1.791759469228055,1.3862943611198906,73.36
2000-06-30 23:18:53.720,North (40–45N) | East (138–146E),8,10,4.9,98.0875,3786935696543.4673,1,0,0,12.57828793071549,2.1972245773362196,2.3978952727983707,98.0875
2000-06-30 23:18:53.720,North (40–45N) | West (130–138E),0,0,0.0,,0.0,0,0,0,0.0,0.0,0.0,86.05303030303031
2000-06-30 23:18:53.720,South (30–35N) | East (138–146E),106,4,5.6,15.345283018867924,92647596441169.47,1,1,22,13.966834156888842,4.672828834461906,1.6094379124341003,15.345283018867924
2000-06-30 23:18:53.720,South (30–35N) | West (130–138E),13,6,6.3,147.82307692307694,278243184631022.8,1,1,1,14.444424535402476,2.6390573296152584,1.9459101490553132,147.82307692307694
2000-07-30 23:18:53.720,Central (35–40N) | East (138–146E),19,7,6.0,28.86842105263158,109873561290856.86,1,1,1,14.040893201369363,2.995732273553991,2.0794415416798357,28.86842105263158
2000-07-30 23:18:53.720,Central (35–40N) | West (130–138E),3,5,3.9,347.3,105185650354.80344,0,0,0,11.021956496506297,1.3862943611198906,1.791759469228055,347.3
2000-07-30 23:18:53.720,North (40–45N) | East (138–146E),9,8,4.5,145.96666666666664,1172595326061.8545,1,0,0,12.06914815876473,2.302585092994046,2.1972245773362196,145.96666666666664
2000-07-30 23:18:53.720,North (40–45N) | West (130–138E),1,0,3.8,245.9,31622776601.683792,0,0,0,10.500000000013733,0.6931471805599453,0.0,245.9
2000-07-30 23:18:53.720,South (30–35N) | East (138–146E),421,106,6.5,10.926365795724466,868066829129756.5,1,1,7,14.938553161127011,6.045005314036012,4.672828834461906,10.926365795724466
2000-07-30 23:18:53.720,South (30–35N) | West (130–138E),7,13,5.4,99.39999999999999,8702629104724.242,1,1,1,12.939650474823761,2.0794415416798357,2.6390573296152584,99.39999999999999
2000-08-29 23:18:53.720,Central (35–40N) | East (138–146E),13,19,5.5,50.34615384615385,23929733278365.293,1,0,0,13.378937857979118,2.6390573296152584,2.995732273553991,50.34615384615385
2000-08-29 23:18:53.720,Central (35–40N) | West (130–138E),2,3,4.1,416.15,94748507065.2779,0,0,0,10.976572375600686,1.0986122886681098,1.3862943611198906,416.15
2000-08-29 23:18:53.720,North (40–45N) | East (138–146E),13,9,5.0,37.55384615384615,5828033792351.136,1,0,0,12.765522061249895,2.6390573296152584,2.302585092994046,37.55384615384615
2000-08-29 23:18:53.720,North (40–45N) | West (130–138E),0,1,0.0,,0.0,0,0,0,0.0,0.0,0.6931471805599453,86.05303030303031
2000-08-29 23:18:53.720,South (30–35N) | East (138–146E),210,421,5.7,11.13857142857143,172053663617831.9,1,1,1,14.235663924687659,5.351858133476067,6.045005314036012,11.13857142857143
2000-08-29 23:18:53.720,South (30–35N) | West (130–138E),7,7,5.6,138.0285714285714,17424862298017.713,1,0,0,13.241169354721443,2.0794415416798357,2.0794415416798357,138.0285714285714
2000-09-28 23:18:53.720,Central (35–40N) | East (138–146E),7,13,4.8,72.05714285714285,3743624022323.379,1,0,0,12.573292225421557,2.0794415416798357,2.6390573296152584,72.05714285714285
2000-09-28 23:18:53.720,Central (35–40N) | West (130–138E),1,2,3.8,358.7,31622776601.683792,0,1,3,10.500000000013733,0.6931471805599453,1.0986122886681098,358.7
2000-09-28 23:18:53.720,North (40–45N) | East (138–146E),9,13,5.2,107.2,7507151431981.15,1,1,1,12.875475176411333,2.302585092994046,2.6390573296152584,107.2
2000-09-28 23:18:53.720,North (40–45N) | West (130–138E),1,0,4.9,582.3,1412537544622.7554,1,0,0,12.150000000000308,0.6931471805599453,0.0,582.3
2000-09-28 23:18:53.720,South (30–35N) | East (138–146E),7,210,5.3,121.37142857142858,7382478605323.628,1,0,0,12.868202197038684,2.0794415416798357,5.351858133476067,121.37142857142858
2000-09-28 23:18:53.720,South (30–35N) | West (130–138E),4,7,4.3,118.075,380011618000.08936,0,0,0,11.579796874397426,1.6094379124341003,2.0794415416798357,118.075
2000-10-28 23:18:53.720,Central (35–40N) | East (138–146E),11,7,4.8,52.09090909090909,2978496678522.803,1,1,1,12.473997120130822,2.4849066497880004,2.0794415416798357,52.09090909090909
2000-10-28 23:18:53.720,Central (35–40N) | West (130–138E),8,1,6.7,10.0,721018410958836.1,1,0,0,14.857946354422264,2.1972245773362196,0.6931471805599453,10.0
2000-10-28 23:18:53.720,North (40–45N) | East (138–146E),11,9,6.3,85.97272727272728,179936738375587.3,1,1,1,14.25511984397288,2.4849066497880004,2.302585092994046,85.97272727272728
2000-10-28 23:18:53.720,North (40–45N) | West (130–138E),1,1,4.2,444.5,125892541179.41713,0,0,0,11.100000000003451,0.6931471805599453,0.6931471805599453,444.5
2000-10-28 23:18:53.720,South (30–35N) | East (138–146E),6,7,4.9,109.33333333333333,2712701564618.947,1,1,1,12.433402017879583,1.9459101490553132,2.0794415416798357,109.33333333333333
2000-10-28 23:18:53.720,South (30–35N) | West (130–138E),8,4,5.0,291.0375,3856092197155.9834,1,1,1,12.586147409109902,2.1972245773362196,1.6094379124341003,291.0375
2000-11-27 23:18:53.720,Central (35–40N) | East (138–146E),8,11,5.3,52.65,10827724043553.51,1,1,1,13.034537178767408,2.1972245773362196,2.4849066497880004,52.65
2000-11-27 23:18:53.720,Central (35–40N) | West (130–138E),0,8,0.0,,0.0,0,0,0,0.0,0.0,2.1972245773362196,86.05303030303031
2000-11-27 23:18:53.720,North (40–45N) | East (138–146E),12,11,6.0,79.34166666666667,88882449982432.8,1,0,0,13.948816017120786,2.5649493574615367,2.4849066497880004,79.34166666666667
2000-11-27 23:18:53.720,North (40–45N) | West (130–138E),2,1,4.5,380.04999999999995,377200600619.2595,1,0,0,11.576572375597255,1.0986122886681098,0.6931471805599453,380.04999999999995
2000-11-27 23:18:53.720,South (30–35N) | East (138–146E),4,6,5.0,120.87500000000001,2502296532463.853,1,0,0,12.398338774095317,1.6094379124341003,1.9459101490553132,120.87500000000001
2000-11-27 23:18:53.720,South (30–35N) | West (130–138E),3,8,5.5,86.13333333333333,12054022868583.21,1,0,0,13.081132011065069,1.3862943611198906,2.1972245773362196,86.13333333333333
2000-12-27 23:18:53.720,Central (35–40N) | East (138–146E),3,8,5.7,41.93333333333333,22539432213944.863,1,1,1,13.352942971627744,1.3862943611198906,2.1972245773362196,41.93333333333333
